No,会社名(サービス名),運営会社,運営形態,URL,問い合わせフォームURL,メールアドレス,SNS,SNS活発度,SNS活発度の根拠,規模メモ,既存提携メモ(給付金サポート等),営業禁止記載,営業禁止の文言,送信日,送信結果,スキップ理由,返信,次アクション,備考
11,退職代行OITOMA,株式会社H4（旧5core）,民間,https://o-itoma.jp/,https://o-itoma.jp/media-contact/,確認できず,X:@taisyoku_daikos / IG:@taisyoku_oitoma / YouTube/Facebookあり,中,推定: X 2025/3投稿確認。IG等も開設済み。フォロワー数不明,"労組提携・24,000円・満足度98%表示。中堅",有: 給付金診断「最大500万円」記載・行政書士提携をPR,無,規約・特商法・ポリシー・メディア問合せページに該当文言なし,,,,,対象外（給付金診断を自社提供・行政書士提携済み）,自社で給付金サポート提供→条件③に不適合。アフィリエイター募集あり
12,退職代行EXIT,EXIT株式会社（現ENTRANCE株式会社表記）,民間,https://www.taishokudaikou.com/,https://exitinc.jp/contact/,確認できず（フォーム受付のみと明記）,X:@taishoku_daikou / IG:@exit_taishoku,中,推定: X 2018年開設・2025/3投稿確認。代表個人Xでも発信,"退職代行ブームの先駆者・大手知名度。20,000円",確認できず: サイト内に給付金記載なし,無,contact・privacy・terms導線に該当文言なし,,,,,対象外（大手・知名度先行）,大手→ターゲット条件①に不適合気味
13,退職代行JITAI,退職代行JITAI株式会社,民間,https://taishoku-jitai.com/,https://taishoku-jitai.com/contact/,info@tdjitai.com,X:@jitai_taisyoku,中,推定: X公式で発信中・ゆゆうた監修を看板にSNSプロモ展開。フォロワー数取得不可,"小規模・新興（2024年10月開始）。22,000円",有: 公式に失業保険・社会保険給付のサポート案内あり,無,サイト・特商法・フォームに該当記載なし,,,,,対象外の可能性（失業保険・社会保険給付サポート案内あり）,条件③（給付金サポート自社提供）に不適合の可能性
14,退職代行Jobs,株式会社アレス,民間,https://jobs1.jp/,https://jobs1.jp/mailform0/,info@jobs1.jp,X:@jobs1project,低,推定: X 2019年開設・フォロワー約102人・直近投稿確認できず,"労組提携・弁護士監修。相談実績6万人・27,000円。中堅",有: トップに給付金サポート提携企業の表示あり,無,規約・ポリシー・特商法に該当文言なし,,,,,対象外の可能性（給付金サポート提携企業の表示あり）,会社概要 https://jobs1.jp/company/
15,退職代行ヤメドキ,株式会社25H,民間,https://yamedoki.co.jp/,Webフォームなし・LINE主窓口 https://page.line.me/101dpyfn,company@nijigoji.com,Threads:@work_yamedoki,低,Threadsフォロワー10人・直近2024/12・投稿4件。X/IG/TikTok発見できず,"2023年開始・完全後払い。実績3,972名表示・24,000円。中小",有: 事業内容に社会保険給付金サポート事業を明記,無,特商法表記に該当文言なし,,,,,対象外（社会保険給付金サポート事業を自社明記）,自社で給付金サポート提供→ターゲット条件③に不適合
16,退職代行ニコイチ,株式会社ニコイチ,民間,https://www.g-j.jp/service/retirement/,https://www.g-j.jp/contact/mail-form/,251niko@gmail.com（推定・スニペット由来）,IG:@251niko,低,推定: IGフォロワー16人・投稿14件,"2004年創業の老舗。累計64,437人・27,000円。中堅",有(推定): 外部記事に行政書士監修の給付金サポート記載。公式403で直接確認できず,確認できず,公式サイトがクローラーに403のため規約確認できず,,,,,対象外の可能性（外部記事に給付金サポート記載・要直接確認）,サイトはbot遮断あり。手動確認推奨
17,リーガルジャパン,日本労働産業ユニオン,労組,https://legal-japan.net/,https://legal-japan.net/contact/（環境要因で未検証）,確認できず,確認できず,不明,公式SNSアカウント発見できず。LINE・広告集客中心と推定,"小〜中規模・2022年開始・19,800円",有: 最大200万円の失業保険紹介・失業保険サポートを公称,確認できず,規約類を直接取得できず,,,,,対象外の可能性（失業保険サポート公称）＋運営状況要確認,条件③不適合の可能性。運営停止の可能性の注記あり→接触前に稼働再確認
18,退職代行ネルサポ,ネルサポート株式会社,民間,https://newlife-support.com/,https://newlife-support.com/#contact（法人向けは https://nel-support.com/contact-us）,info@newlife-support.com,X:@nlsupo / IG:@nlsupo01 / Threads:@nlsupo01,低,推定: IGフォロワー241・Xフォロワー307。X直近確認2024年8月,"人材紹介・退職代行兼業の中小。15,000円最安級",確認できず（サービス一覧に記載なし）,無,利用規約第9条に営業目的の明示なし,,,,,予備候補6位（SNS低）,労組提携は2026年3月時点で終了との記事あり。姉妹サービス即ヤメ
19,退職代行ローキ,労働基準調査組合,労組,https://rouki.help/,https://rouki.help/union/contact（業務提携・取材依頼も同フォームで受付と案内）,support@rouki.help,X:@roukihelp / IG:@taishokudaikou_rouki / TikTok:@taishokudaikou_rouki / YouTube/note,低,推定: Xフォロワー194・IGフォロワー70。多チャネルだが小規模,"19,800円・弁護士連携＋労組。mybest 1位を公称。中小",無し（失業保険の手続き無料アドバイスの記載のみ）,無,問い合わせページ・利用規約に営業・勧誘禁止なし,,,,,予備候補7位（SNS低・フォームで業務提携を明示受付）,フォームで業務提携の問い合わせを明示的に受付→好適
20,退職代行SARABA,退職代行SARABAユニオン（株式会社スムリエ）,労組,https://taisyokudaikou.com/,https://taisyokudaikou.com/lptoptelkusshion/,saraba@taisyokudaikou.com,X:@saraba_taisyoku,低,推定: Xフォロワー約323・直近投稿時期確認できず,"一律24,000円・かつて業界大手級の知名度",確認できず（転職サポートのみ記載）,無,利用規約に営業・勧誘禁止条項なし,,,,,予備候補（SNS低）,
21,退職代行即ヤメ,ネルサポート株式会社,労組,https://taishokudaikou-sokuyame.com/,無し（LINE申込中心・/contactは404）,確認できず（電話075-600-2965のみ）,確認できず,低,SNSリンクなし・公式アカウント発見できず。広告集客中心と推定,"中小。20,000〜24,000円・完全後払い",確認できず,無,利用規約の禁止行為に営業・勧誘禁止条項なし,,,,,予備候補（SNSなし・広告集客型）,
22,退職代行ヒトヤスミ,株式会社PULLBACK,民間,https://www.taisyokudaikouhitoyasumi.com/,トップページ内埋め込みフォーム,hitoyasumi@pullback.co.jp,確認できず（LINEのみ）,不明,SNSアカウント発見できず,"2019年開始・16,500円最安級・実績1,000人以上。小規模",有(推定): 外部記事に給付金サポート可の記載。公式では確認できず,無,トップ・会社ページに該当文言なし,,,,,予備候補（SNSなし・外部記事に給付金言及あり要確認）,Wix系サイト
23,退職代行イマスグヤメタイ,株式会社Maimo,民間,https://maimo-inc.co.jp/,Webフォームなし・LINEのみ,info@imasuguyametai.jp,確認できず,不明,SNSアカウント発見できず,"Web制作会社が運営・労組提携・22,000円。小規模",確認できず: サイトに記載なし,無,特商法表記に該当文言なし,,,,,予備候補（SNSなし）,後払い対応
24,退職代行みらい,株式会社あいゆめ,民間,https://mirai-restart.com/,https://mirai-restart.com/#contact-form,customer@mirai-restart.com,確認できず（LINEのみ）,不明,SNSリンク・公式アカウントなし,小規模。営業時間 月火木金10-16時,一部有: 傷病手当や失業手当の申請をスムーズに行えますとの記載,無,トップ・ポリシーに営業禁止なし,,,,,予備候補（SNSなし・傷病手当申請支援の記載あり要確認）,フォームとLINEのみのシンプル構成
25,退職代行 辞めるんです,LENIS Entertainment株式会社,民間,https://yamerundesu.com/,確認できず（フォームなし・LINE相談のみ。特商法: 電話03-6279-3967 / info@yamerundesu.com）,info@yamerundesu.com,X:@yamerundesu_ / IG:@taishoku.yamerundesu,低,推定: IGの確認できた投稿は2021年頃のみ。サイトにSNSリンクなし,"東京都港区・LENIS Entertainment(株)運営の中小規模。27,000円一律・後払い対応。公称実績7,000〜10,000件以上（第三者サイト）",無（サイト内に給付金関連の記載なし）,無,プライバシーポリシー・特商法表記に営業禁止文言なし,,,,,予備候補（SNS低・フォームなしメールのみ）,労組提携の記載は第三者サイトのみで公式には確認できず
26,退職代行サービスのretry,行政書士翔事務所,民間,https://office-kakeru.jp/retry/,https://office-kakeru.jp/contact/,確認できず（電話079-439-6250とフォームのみ）,確認できず,不明,サイト・検索ともSNSアカウント発見できず,"兵庫県高砂市の個人行政書士事務所。小規模。30,000円(正社員・税抜)",無,無,問い合わせページ・プライバシーポリシーに営業禁止文言なし,,,,,予備候補（SNSなし・行政書士運営）,行政書士運営・交渉不可。ごく小規模（推定）
27,あおぞら退職代行サービス,あおぞらユニオン,労組,https://aozora-union.com/resignation/,https://aozora-union.com/contact/,確認できず（第三者サイトに sodan@aozora-union.com の記載・推定）,X:@aozoraunion,低,X 2018年開設だが投稿なし表示・2019年以降更新なしとの記事,"小規模合同労組。15,000円。TBS取材実績",無,無,contact・company・privacyに該当文言なし,,,,,保留（運営停止の可能性・要確認）,2025年末からサイト未更新・運営停止の可能性との第三者指摘あり
28,退職代行ABAYO,株式会社アクロサポート,民間,https://acro-support.com/（DNS解決不可）,確認できず（サイトアクセス不能）,info@acro-support.com（到達性不明）,X:@acro_support（推定）,不明,口コミサイト記載のみ・直近投稿確認できず,"中小。19,800円。サイト閉鎖・事業休止の可能性",確認できず,確認できず,,,,,,保留（サイト閉鎖の可能性・要確認）,営業対象外推奨（サイト閉鎖の可能性）
29,円満退職のピンチヒッター,株式会社Pino,民間,https://www.taishokudaikouenman.com/（メンテ画面のみ）,確認できず,確認できず,X:@taishoku_enman（推定）,低,口コミサイト言及のみ,"中小。27,500円。ドメイン失効・運営休止の可能性",確認できず,確認できず,,,,,,保留（運営休止の可能性・要確認）,営業対象外推奨（運営休止の可能性）
30,退職代行トリケシ,日本労働産業ユニオン,労組,https://torikeshi.jp/（DNS解決不可・閉鎖状態）,確認できず（サイト閉鎖）,info@torikeshi.jp（到達性不明）,X:@TorikeshiInfo,低,2025年末頃新規受付停止・サイト閉鎖でSNSも稼働停止と推定,公称相談3万件超の中堅だったが2026年7月時点で閉業状態,有（推定・過去に給付金申請サポート提供）,確認できず,サイト閉鎖のため確認不可,,,,,保留（2026年時点で閉業状態との情報）,営業対象外推奨（活動停止中）
